brand_name,parent_company_name,year,item_description,type_product,type_material,layer,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
5-hour energy,innovations ventures llc,2021,energy drink,food packaging,pet,single-layer,62.0,2021-06-12,2021-06-12,3.5,fairhaven,massachusetts,united states of america,north america,outdoor,coastal,1858,-70.9036487,41.6376043,city,1,0.0005382131324004
5 gum,"mars, incorporated",2018,Unknown,other,Unknown,unsure,5.0,2018-09-15,2018-09-15,3.115933014354067,vancouver,british columbia,canada,north america,outdoor,coastal,592,-123.113952,49.2608724,city,2,0.0033783783783783
5 gum,"mars, incorporated",2018,Unknown,other,Unknown,unsure,10.0,2018-09-12,2018-09-12,3.115933014354067,allendale,mi,united states of america,north america,outdoor,inland,113,-85.9536535,42.9722455,city,1,0.0088495575221238
5 hour energy,living essentials,2021,bottle,food packaging,pet,multi-layer,13.0,2021-02-22,2021-02-28,2.0,state-wide,north carolina,united states of america,north america,outdoor,other,168,-79.0392919,35.6729639,state,1,0.0059523809523809
5 hour energy,living essentials,2020,drink bottle,food packaging,pet,single-layer,10.0,2020-10-03,2020-10-03,3.0,newburyport,massachusetts,united states of america,north america,outdoor,inland,791,-70.8772751,42.8125913,city,5,0.0063211125158027
5 hour energy,living essentials,2020,small bottle,food packaging,hdpe,single-layer,10.0,2020-10-03,2020-10-03,3.0,newburyport,massachusetts,united states of america,north america,outdoor,inland,791,-70.8772751,42.8125913,city,1,0.0012642225031605
5 hour energy,living essentials,2022,bottle,food packaging,pet,single-layer,12.0,2022-09-17,2022-09-17,6.0,st. louis,missouri,united states of america,north america,outdoor,freshwater,1657,-90.1910154,38.6280278,city,1,0.0006035003017501
5 hour energy,living essentials,2021,bottle,food packaging,hdpe,single-layer,13.0,2021-09-11,2021-09-12,2.0,amherst,massachusetts,united states of america,north america,outdoor,inland,512,-72.505714,42.3685658,city,1,0.001953125
5 hour energy,living essentials,2021,bottle,food packaging,hdpe,unsure,40.0,2021-09-11,2021-09-11,4.0,los angeles,california,united states of america,north america,outdoor,freshwater,264,-118.0772433,33.8038865,city,1,0.0037878787878787
5 hour energy,living essentials,2018,Unknown,other,hdpe,unsure,13.0,2018-09-15,2018-09-15,3.115933014354067,halifax,ns,canada,north america,outdoor,coastal,346,-63.5859487,44.648618,city,1,0.0028901734104046
5 hour energy,living essentials,2018,Unknown,other,hdpe,unsure,1.0,2018-09-10,2018-09-10,3.115933014354067,new york,new york,united states of america,north america,outdoor,inland,124,-73.9497211,40.6526006,city,2,0.0161290322580645
5 hour energy,living essentials,2018,Unknown,other,pp,unsure,12.0,2018-09-16,2018-09-16,3.115933014354067,warrensburg,mo,united states of america,north america,outdoor,inland,205,-93.7409596,38.7624373,city,2,0.0097560975609756
5 hour energy,living essentials,2018,Unknown,other,hdpe,unsure,4.0,2018-09-16,2018-09-16,3.115933014354067,castleton-on-hudson,new york,united states of america,north america,outdoor,inland,66,-73.7553018,42.5308134,city,1,0.0151515151515152
5 hour energy,living essentials,2018,Unknown,other,pet,unsure,30.0,2018-08-11,2018-08-11,3.115933014354067,long beach,california,united states of america,north america,outdoor,coastal,236,-118.191604,33.7690164,city,1,0.0042372881355932
5 hour energy,living essentials,2022,beverage bottles,other,pet,single-layer,4.0,2022-09-28,2022-09-28,3.115933014354067,hood river,or,united states of america,north america,outdoor,freshwater,169,-121.512372,45.7087902,city,1,0.0059171597633136
50 ml liquor mini bottle,unbranded,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
5th avenue,5th avenue,2021,wrapper,food packaging,o,unsure,11.0,2021-08-08,2021-08-08,2.0,fairhaven,massachusetts,united states of america,north america,outdoor,coastal,660,-70.9036487,41.6376043,city,1,0.0015151515151515
